NEW PSYCHOACTIVE SUBSTANCES (NPS),,,,,,,,,,,,,,,,
Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise stated),,,,,,,,,,,,,,,,
NPS Type,Region,Sub-region,Country/Territory,Substance,Lifetime,,,Past year,,,Past Month,,,Year,Age,Source
,,,,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,
Synthetic cannabinoids,Africa,North Africa,Egypt,Synthetic cannabinoids,"0,20",,,,,,,,,2020,15-64,ARQ
,Americas,North America,Mexico,Synthetic cannabinoids,"0,30","0,50","0,10",,,,,,,2016,12-65,"ARQ/Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco, 2016"
,,,United States of America,Synthetic cannabinoids,,,,"1,10","1,50","0,90",,,,2019,19-30,Monitoring the Future 2019
,,,United States of America,Synthetic cannabinoids,,,,"1,60",,,,,,2018,19-28,Monitoring the Future 2019
,,,United States of America,Synthetic cannabinoids,,,,"0,90",,,,,,2017,19-28,Monitoring the Future 2019
,,,United States of America,Synthetic cannabinoids,,,,"1,00",,,,,,2016,19-28,Monitoring the Future 2019
,,,United States of America,Synthetic cannabinoids,,,,"1,50",,,,,,2015,19-28,Monitoring the Future 2019
,,,United States of America,Synthetic cannabinoids,,,,"3,20",,,,,,2013,19-28,Monitoring the Future 2019
,,,United States of America,Synthetic cannabinoids,,,,"5,30",,,,,,2012,19-28,Monitoring the Future 2019
,,,United States of America,Synthetic cannabinoids,,,,"6,50","9,60","4,50",,,,2011,19-30,Monitoring the Future 2011
,,,United States of America,Synthetic cannabinoids,,,,"7,40",,,,,,2011,19-28,Monitoring the Future 2019
,,Central America ,Costa Rica,Synthetic cannabinoids,,,,"1,60",,,,,,2018,19-28,Monitoring the Future 2018
,,,Costa Rica,Synthetic cannabinoids,,,,"1,40","1,40","1,30",,,,2018,19-30,Monitoring the Future 2018
,,,Costa Rica,Synthetic cannabinoids,,,,"0,90","0,80","0,90","0,30","0,70","0,10",2016,19-30,Monitoring the Future 2016
,,,Costa Rica,Synthetic cannabinoids,,,,"0,90","1,30","1,90","0,40","0,60","1,00",2015,19-30,Monitoring the Future 2015
,,,Costa Rica,Synthetic cannabinoids,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2015,15-64,ARQ
,,South America,Chile,Synthetic cannabinoids,"1,97","2,34","1,60","0,60","0,85","0,36","0,37","0,54","0,21",2020,15-64,ARQ
,,,Chile,Synthetic cannabinoids,"3,64","4,90","2,39","1,14","1,75","0,53","0,76","1,17","0,35",2018,15-64,"ARQ / Décimo Tercer Estudio Nacional de Drogasen Población General de Chile, 2018

"
,,,Chile,Synthetic cannabinoids,"2,50","3,40","1,60","1,08","1,40","0,64","0,70","0,90","0,50",2016,12-64,"ARQ / Décimo Segundo Estudio Nacional de Drogas en Población General de Chile, 2016 and 2018"
,,,Chile,Synthetic cannabinoids,"1,59","1,82","1,37","0,56","0,75","0,37","0,30","0,40","0,10",2014,12-64,"ARQ / Décimo Primer Estudio Nacional de Drogas en Población General de Chile, 2014 and 2018"
,Europe,South-Eastern Europe ,Bulgaria,Synthetic cannabinoids,"0,60","0,50","0,60","0,10","0,20",,,,,2020,15-64,ARQ
,,,Croatia,"Synthetic cannabinoids. Following their international control in 2015, the synthetic cannabinoids JWH-018 and AM-2201 no longer belong to the category of new psychoactive substances. However, in the context of prevalence of use surveys, it is not possible to differentiate between the synthetic cannabinoids which are under international control and those which are not under international control.  ","1,10",,,,,,"1,10",,,2010-11,,2012 National Report to the EMCDDA
,,,Türkiye,Synthetic cannabinoids,"0,42","0,84","0,03","0,16","0,34",,"0,14","0,29",,2018,15-64,ARQ
